gps_millis,gnss_id,sv_id,corr_pr_m,pr_uncertainty_m,x_sv_m,y_sv_m,z_sv_m
1302558271441,glonass,24,22839431.746,7.195,-23121479.72,-9609058.445,-4873371.998
1302558271441,galileo,13,25906175.462,5.096,-23362341.768,-17666189.11,-4223172.355
1302558271441,galileo,15,23337910.012,3.897,-11489480.853,-23176194.652,14384834.488
1302558271441,beidou,6,40963930.209,5.696,-16981474.976,21003615.285,32730801.523
1302558271441,galileo,21,27183734.792,9.294,-17400230.774,9837148.368,21825222.319
1302558271441,beidou,37,21810491.035,3.598,-16487494.805,-13673611.626,17909398.347
1302558271441,gps,17,23922384.393000003,2.398,13343621.683,-13267634.884,19170864.253
1302558271441,glonass,22,20421469.818,6.296,128810.21,-11389941.892,22795496.498
1302558271441,galileo,27,23619075.853000004,4.197,-13206673.25,-12556906.176,23326007.192
1302558271441,gps,19,21590257.547,5.696,4322699.152,-14409259.585,21592739.017
1302558271441,gps,25,24706971.430000003,10.493,-17471222.919,11249839.375,16118291.358
1302558271441,galileo,30,24416996.056,1.799,-538011.269,-27750780.024,10293512.952
1302558271441,beidou,23,22865169.231000002,5.096,-8619228.286,-26366605.445,3048543.017
1302558271441,beidou,27,24018508.482,3.897,-26061141.171,-9654342.581,2369674.488
1302558271441,gps,2,20979702.422000002,3.897,-12760813.234,-22506873.893,6542103.171
1302558271441,beidou,28,21570713.880000006,6.296,-13141278.956,-16911602.774,17891598.749
1302558271441,gps,6,20732867.493,2.698,-2369695.695,-21330663.595,15669871.689
1302558271441,galileo,13,25906173.44,0.899,-23362341.771,-17666189.111,-4223172.336
1302558271441,gps,12,21494264.238999996,5.696,-14952054.642,-3058639.648,21468039.509
1302558271441,beidou,11,26006150.218000002,3.897,16698605.875,-8891403.077,20561540.43
1302558271441,gps,14,25172929.355,3.598,13209556.829,-22955649.68,-1854559.329
1302558271441,gps,25,24706924.907,2.398,-17471222.914,11249839.359,16118291.375
1302558271441,glonass,23,19905510.316,3.598,-19130608.733,-14360445.309,8836596.419
1302558271441,gps,14,25172927.209000003,1.799,13209556.83,-22955649.676,-1854559.355
1302558271441,glonass,12,19576396.987000003,2.998,-6557902.397,-22211232.334,10738723.251
1302558271441,galileo,27,23619076.430000003,1.499,-13206673.247,-12556906.191,23326007.186
1302558271441,beidou,16,40992980.902,8.094,-13033977.322,21762538.201,33761973.686
1302558271441,galileo,30,24416994.42,2.099,-538011.27,-27750780.017,10293512.969
1302558271441,gps,28,24454107.032,3.298,11998560.856,-23767578.059,2118241.198
1302558271441,galileo,15,23337909.541999996,0.899,-11489480.847,-23176194.645,14384834.504
1302558271441,gps,6,20732864.218000002,0.6,-2369695.685,-21330663.583,15669871.707
