gps_millis,gnss_id,sv_id,corr_pr_m,pr_uncertainty_m,x_sv_m,y_sv_m,z_sv_m
1302558019441,glonass,24,23017316.888000004,3.298,-22938147.973,-9561533.689,-5751229.467
1302558019441,galileo,13,26039978.336,5.696,-23250062.64,-17615399.214,-4985516.11
1302558019441,galileo,15,23367571.630000006,7.195,-11727287.978,-23443147.177,13745611.34
1302558019441,galileo,21,27304294.809,9.294,-17542146.51,10366281.647,21463752.586
1302558019441,beidou,37,21841499.627000004,3.298,-16391162.552,-13159994.132,18376446.241
1302558019441,galileo,27,23672326.176,4.197,-13338939.825,-11978961.471,23553385.505
1302558019441,gps,19,21478575.068,4.797,3614067.703,-14432364.037,21708294.538
1302558019441,gps,25,24860925.194,9.294,-17642124.499,11746186.157,15570990.893
1302558019441,galileo,30,24351315.417999998,1.199,-580374.864,-27483773.428,10983247.275
1302558019441,beidou,23,22754914.153,2.099,-8636397.31,-26261099.406,3814418.996
1302558019441,galileo,2,28504552.029999997,15.889,11782988.159,-26162279.73,-7313265.534
1302558019441,beidou,27,24139171.195999995,2.099,-26124590.416,-9644498.719,1588340.83
1302558019441,gps,2,21057372.037,2.698,-12922610.19,-22602222.106,5772191.448
1302558019441,beidou,28,21573024.751999997,3.897,-13631043.37,-17046884.394,17389753.776
1302558019441,gps,6,20721213.446999997,1.799,-2680695.819,-21709620.368,15084690.033
1302558019441,galileo,13,26039975.959000003,0.899,-23250062.643,-17615399.216,-4985516.092
1302558019441,gps,12,21602380.262,2.398,-15280415.604,-2441132.7,21313577.627
1302558019441,beidou,11,25864879.48,9.294,16134686.14,-9077947.729,20928782.905
1302558019441,gps,14,25034377.902999997,9.294,13165263.133,-23031074.911,-1057760.583
1302558019441,gps,25,24860855.941999998,2.998,-17642124.492,11746186.148,15570990.915
1302558019441,glonass,23,19998716.003000002,5.096,-19360612.85,-14548370.109,7988234.54
1302558019441,gps,14,25034384.975999996,2.398,13165263.131,-23031074.902,-1057760.608
1302558019441,glonass,12,19514488.084999997,1.799,-6500892.244,-21830766.43,11525748.626
1302558019441,galileo,27,23672328.369,1.199,-13338939.823,-11978961.485,23553385.499
1302558019441,beidou,16,41002987.667,11.992,-12705635.997,21748197.1,33899277.555
1302558019441,galileo,30,24351316.871,4.197,-580374.865,-27483773.421,10983247.292
1302558019441,gps,28,24343113.59,7.195,11918331.899,-23741400.594,2916725.007
1302558019441,galileo,15,23367571.285,1.499,-11727287.972,-23443147.17,13745611.356
1302558019441,gps,6,20721210.691999998,0.899,-2680695.809,-21709620.356,15084690.052
